sample_id,filename,fluency_score,readiness,wpm,fillers_per_min,pause_variability,json_path
L2A_000,L2A_000.wav,59,borderline,168.62894037219903,6.1526775541207765,0.16280868117722255,outputs\l2arctic_deep\L2A_000.json
L2A_001,L2A_001.wav,81,borderline,123.56147789218655,2.5439127801332533,0.17435595774162807,outputs\l2arctic_deep\L2A_001.json
L2A_002,L2A_002.wav,55,borderline,110.618242306626,2.994177987247021,0.40488975571840996,outputs\l2arctic_deep\L2A_002.json
L2A_003,L2A_003.wav,42,borderline,67.21792477994131,1.7604694585222727,0.3489030428834546,outputs\l2arctic_deep\L2A_003.json
L2A_004,L2A_004.wav,56,borderline,130.31992955679485,3.5221602582917524,0.20504741998972745,outputs\l2arctic_deep\L2A_004.json
L2A_005,L2A_005.wav,33,not_ready,109.28224500809497,5.5045871559633035,0.5698050348827901,outputs\l2arctic_deep\L2A_005.json
L2A_007,L2A_007.wav,25,not_ready,86.60984327742645,4.4542205114105045,0.9343550954773278,outputs\l2arctic_deep\L2A_007.json
L2A_008,L2A_008.wav,77,borderline,130.76643661460224,0.8717762440973483,0.2842997953329785,outputs\l2arctic_deep\L2A_008.json
L2A_009,L2A_009.wav,59,borderline,92.7172582619339,7.711138310893512,0.0,outputs\l2arctic_deep\L2A_009.json
L2A_010,L2A_010.wav,36,borderline,125.70668440305953,1.995344196873961,0.38687350789516556,outputs\l2arctic_deep\L2A_010.json
L2A_011,L2A_011.wav,35,not_ready,87.0939925265881,5.173900546133947,0.6813222438758321,outputs\l2arctic_deep\L2A_011.json
L2A_012,L2A_012.wav,65,borderline,122.95081967213115,1.7883755588673622,0.0,outputs\l2arctic_deep\L2A_012.json
L2A_014,L2A_014.wav,72,not_ready,132.04225352112678,2.8169014084507045,0.0,outputs\l2arctic_deep\L2A_014.json
L2A_015,L2A_015.wav,63,borderline,105.55738243998685,5.721802038803025,0.0,outputs\l2arctic_deep\L2A_015.json
L2A_016,L2A_016.wav,47,borderline,111.14160263446763,5.598243688254667,0.2896385267716927,outputs\l2arctic_deep\L2A_016.json
L2A_017,L2A_017.wav,52,borderline,120.0,4.838709677419356,0.19286149319020646,outputs\l2arctic_deep\L2A_017.json
L2A_018,L2A_018.wav,34,not_ready,111.68032786885246,2.6639344262295084,0.3661966684720113,outputs\l2arctic_deep\L2A_018.json
L2A_019,L2A_019.wav,42,not_ready,79.32692307692308,2.884615384615385,0.27122297978214244,outputs\l2arctic_deep\L2A_019.json
L2A_020,L2A_020.wav,68,borderline,93.6249666577754,3.5209389170445453,0.0,outputs\l2arctic_deep\L2A_020.json
L2A_021,L2A_021.wav,54,borderline,122.85336856010568,3.434610303830912,0.2561249694973142,outputs\l2arctic_deep\L2A_021.json
