sample_id,wpm,duration_weighted_disfluency,mean_fluency,long_pauses_per_min,fillers_per_min,pause_variability,speech_rate_variability
S01,185.5,0.75,8.4,0.0,3.34,0.0,0.221
S02,143.4,0.71,7.2,0.0,3.87,0.148,0.23
S03,130.4,0.605,7.0,0.67,3.48,0.317,0.268
S04,121.4,0.227,5.4,2.02,2.97,1.319,0.225
S05,88.2,0.229,4.6,2.0,2.94,1.469,0.339
S07,108.9,0.387,6.4,1.39,3.19,0.669,0.349
S08,197.4,0.76,7.8,0.0,3.2,0.151,0.225
S09,130.7,0.564,7.6,1.33,2.4,0.278,0.271
S10,164.4,0.714,7.6,0.0,3.81,0.183,0.235
S11,167.5,0.55,6.2,0.0,6.15,0.16,0.28
S12,123.6,0.809,6.2,0.0,2.54,0.174,0.241
S13,110.6,0.608,4.4,0.83,2.83,0.405,0.293
S14,76.4,0.348,4.4,2.47,1.97,0.34,0.293
S15,130.3,0.736,6.2,0.0,3.52,0.204,0.268
S16,109.3,0.203,6.0,1.62,5.18,0.583,0.259
S17,86.6,0.188,4.2,1.65,4.78,0.974,0.381
S18,131.9,0.509,6.4,2.18,0.87,0.295,0.28
S19,92.7,0.423,5.0,0.92,7.71,0.0,0.249
S20,125.7,0.3,6.4,3.99,2.0,0.39,0.298
S21,87.1,0.146,6.0,1.72,5.17,0.681,0.28
S22,123.0,0.439,5.4,3.35,1.34,0.0,0.278
S23,132.0,0.574,5.4,1.76,2.46,0.0,0.336
S24,105.6,0.464,4.6,0.99,5.33,0.0,0.349
S25,111.1,0.421,6.4,0.82,5.6,0.29,0.301
S26,121.0,0.637,6.2,0.0,4.84,0.195,0.268
S27,113.7,0.265,6.0,5.12,2.46,0.534,0.251
S28,79.3,0.624,5.2,0.8,3.04,0.244,0.274
S29,93.6,0.736,4.6,0.0,3.52,0.0,0.329
S30,121.5,0.476,6.8,1.32,3.7,0.251,0.416
