File,Score (0-100),Band (1-9),Speech Rate,Pause Structure,Filler Dependency,Rhythmic Stability,Lexical Quality,Issues Count
S01,73,6.8,0.87,1.00,0.44,1.00,0.66,0
S02,69,6.5,1.00,1.00,0.35,0.79,0.72,0
S03,61,5.9,1.00,0.83,0.42,0.55,0.73,0
S04,37,4.0,1.00,0.49,0.50,0.00,0.66,0
S05,29,3.3,0.45,0.50,0.51,0.00,0.68,0
S07,42,4.4,0.97,0.65,0.47,0.04,0.71,0
S08,68,6.4,0.77,1.00,0.47,0.78,0.69,0
S09,69,6.5,1.00,0.67,0.60,0.60,0.71,0
S10,68,6.4,1.00,1.00,0.36,0.74,0.66,0
S11,59,5.7,1.00,1.00,0.00,0.77,0.66,0
S12,81,7.5,1.00,1.00,0.58,0.75,0.68,0
S13,56,5.5,1.00,0.79,0.53,0.42,0.72,0
S14,37,4.0,0.16,0.38,0.67,0.51,0.80,0
S15,68,6.4,1.00,1.00,0.41,0.71,0.68,0
S16,34,3.7,0.98,0.59,0.14,0.17,0.68,0
S17,24,2.9,0.42,0.59,0.20,0.00,0.72,0
S18,69,6.5,1.00,0.45,0.85,0.58,0.73,0
S19,59,5.7,0.57,0.77,0.00,1.00,0.75,0
S20,48,4.8,1.00,0.00,0.67,0.44,0.70,0
S21,35,3.8,0.43,0.57,0.14,0.03,0.77,0
S22,67,6.4,1.00,0.16,0.78,1.00,0.76,0
S23,74,6.9,1.00,0.56,0.59,1.00,0.75,0
S24,65,6.2,0.89,0.75,0.11,1.00,0.65,0
S25,60,5.8,1.00,0.80,0.07,0.59,0.74,0
S26,52,5.2,1.00,1.00,0.19,0.72,0.73,0
S27,42,4.4,1.00,0.00,0.59,0.24,0.76,0
S28,48,4.8,0.23,0.80,0.49,0.65,0.74,0
S29,68,6.4,0.59,1.00,0.41,1.00,0.70,0
S30,53,5.2,1.00,0.67,0.38,0.64,0.72,0

SUMMARY,,,,,,,,
Average Score,55.7,5.4
Min Score,24,2.9
Max Score,81,7.5
